Group_Type,Group_Value,Mean_Residual,MAE,N
DN_Level,856,-0.5742275092026681,0.5742275092026681,1
DN_Level,864,0.4512115331616844,0.4512115331616844,1
DN_Level,865,-0.2927949671077168,0.2927949671077168,2
DN_Level,874,-0.2449952613603874,0.2449952613603874,1
DN_Level,876,0.02627202617430241,0.18264537035324874,8
DN_Level,890,-0.253330461822332,0.253330461822332,11
DN_Level,892,-0.055397515179402744,0.26634700202415723,10
DN_Level,903,-0.21304554134235554,0.21304554134235554,1
DN_Level,906,0.06303947074569827,0.06303947074569827,1
DN_Level,909,-0.017058687629019076,0.20676783364433282,4
DN_Level,911,-0.7264126816966514,0.7264126816966514,1
DN_Level,915,-0.08024943691570208,0.08024943691570208,2
DN_Level,916,-0.1682461573407692,0.1682461573407692,1
DN_Level,929,0.26803732556108906,0.26803732556108906,2
DN_Level,934,-0.10489142719614424,0.2540842878698406,9
DN_Level,938,-0.060362663014142726,0.11307749965948233,5
DN_Level,947,-1.091977607467781,1.091977607467781,2
DN_Level,949,-0.16547465218939283,0.16547465218939283,1
DN_Level,953,-0.09092030086774087,0.161485332144559,5
DN_Level,959,-0.6686540109462236,0.6686540109462236,3
DN_Level,966,-0.436644640229225,0.436644640229225,2
DN_Level,972,-0.2049719346509106,0.2049719346509106,3
DN_Level,984,-0.39982517257160644,0.4994109206780507,11
DN_Level,990,-0.12335176013448379,0.12335176013448379,1
DN_Level,991,0.43421158394092085,0.43421158394092085,2
DN_Level,999,-0.01953420457559845,0.10091349172468853,9
DN_Level,1001,-1.2500596666300403,1.2500596666300403,1
DN_Level,1009,-0.04743316584794943,0.3037554636979447,3
DN_Level,1015,-0.6105895130643224,0.6105895130643224,2
DN_Level,1029,-0.04040474665978078,0.04040474665978078,2
DN_Level,1033,-0.4391690582538055,0.4391690582538055,1
DN_Level,1043,0.09045419913001851,0.09045419913001851,1
DN_Level,1058,-0.1621007784756968,0.19471932899663486,7
DN_Level,1060,-0.4345904166136295,0.5710744533753283,4
DN_Level,1068,-0.4646989767137214,0.4646989767137214,7
DN_Level,1072,-0.21067572788136069,0.21067572788136069,2
DN_Level,1075,0.093110551644354,0.093110551644354,1
DN_Level,1078,0.2366722138482209,0.2366722138482209,1
DN_Level,1080,-0.4097205285405203,0.4438873522239553,5
DN_Level,1091,-0.1781752867611046,0.1781752867611046,1
DN_Level,1093,-0.6755239528082866,0.6755239528082866,1
DN_Level,1094,-0.005944316957819051,0.017544043005517818,2
DN_Level,1095,-0.020119517552994754,0.031509400293174394,6
DN_Level,1119,-0.24497684618120727,0.31949664682452195,10
DN_Level,1121,-0.24838333776536747,0.24838333776536747,2
DN_Level,1128,0.05101110170825729,0.05101110170825729,3
DN_Level,1129,0.014695281108139113,0.3190032132175939,3
DN_Level,1139,0.12196111010937982,0.12196111010937982,4
DN_Level,1143,-0.45223471109872637,0.45223471109872637,1
DN_Level,1157,-1.317541735192718,1.317541735192718,1
DN_Level,1158,-0.194564109738375,0.194564109738375,1
DN_Level,1162,0.08981643686392138,0.08981643686392138,1
DN_Level,1166,-0.3588267053171692,0.3588267053171692,1
DN_Level,1175,-0.16535136848511187,0.2782055720066838,3
DN_Level,1194,0.06234546624998553,0.1930911388474179,3
DN_Level,1197,-0.4634932065407851,0.4634932065407851,1
DN_Level,1222,-0.43131442677782517,0.43131442677782517,8
DN_Level,1225,-0.07623140512446636,0.5735234281182464,2
DN_Level,1231,-0.04165712287702239,0.04165712287702239,2
DN_Level,1248,0.18330982560289547,0.271669661560385,3
DN_Level,1257,-0.32362035473751233,0.32362035473751233,9
DN_Level,1259,-0.31919417647009274,0.31919417647009274,1
DN_Level,1261,-0.42375545572203643,0.42375545572203643,2
DN_Level,1268,-0.33437380855791266,0.33437380855791266,2
DN_Level,1278,-0.4155288695604973,0.4155288695604973,2
DN_Level,1287,-0.4360220938190609,0.4360220938190609,1
DN_Level,1296,-0.38814283718523823,0.38814283718523823,1
