Group_Type,Group_Value,Mean_Residual,MAE,N
DN_Level,966,0.12735541249900706,0.12735541249900706,2
DN_Level,972,0.12083828828923604,0.12083828828923604,3
DN_Level,984,-0.7906712201775509,0.7906712201775509,11
DN_Level,990,0.4444701045877739,0.4444701045877739,1
DN_Level,991,0.9297734951379866,0.9297734951379866,2
DN_Level,999,-0.04162727422026549,0.28068544863099676,9
DN_Level,1001,-0.8610813427763819,0.8610813427763819,1
DN_Level,1009,0.2593682412982841,0.41732647076121143,3
DN_Level,1015,-0.06172507988535103,0.18145274684468427,2
DN_Level,1029,0.26496500382028554,0.26496500382028554,2
DN_Level,1033,0.1437845902755961,0.1437845902755961,1
DN_Level,1043,0.046632630790945484,0.046632630790945484,1
DN_Level,1058,-0.0249460331889187,0.1474933173055964,7
DN_Level,1060,-0.889525222813803,0.889525222813803,4
DN_Level,1068,0.04349803425670976,0.18761031070860673,7
DN_Level,1072,0.1848192004195286,0.1848192004195286,2
DN_Level,1075,0.1818775557318113,0.1818775557318113,1
DN_Level,1078,-0.30656371453298403,0.30656371453298403,1
DN_Level,1080,0.1769929925653977,0.1769929925653977,5
DN_Level,1091,0.16632600566877054,0.16632600566877054,1
DN_Level,1093,0.04179578113934301,0.04179578113934301,1
DN_Level,1094,0.09877859495895436,0.10239720632300653,2
DN_Level,1095,0.0398713999871978,0.0398713999871978,6
DN_Level,1119,0.02318577586126569,0.12454395287855133,10
DN_Level,1121,0.11352428117673319,0.11352428117673319,2
DN_Level,1128,0.12924037890780418,0.12924037890780418,3
DN_Level,1129,0.5294715513121746,0.5294715513121746,3
DN_Level,1139,0.09118710288641796,0.09118710288641796,4
DN_Level,1143,-0.005289729901348572,0.005289729901348572,1
DN_Level,1157,-1.074157833595001,1.074157833595001,1
DN_Level,1158,-0.3819201035774076,0.3819201035774076,1
DN_Level,1162,0.09995774000758972,0.09995774000758972,1
DN_Level,1166,0.016297523585732332,0.016297523585732332,1
DN_Level,1175,0.08626772050414837,0.08626772050414837,3
DN_Level,1194,-0.19663529662072263,0.19663529662072263,3
DN_Level,1197,-0.09833619657439296,0.09833619657439296,1
DN_Level,1222,0.18059955313449716,0.18059955313449716,8
DN_Level,1225,-0.2293665094229822,0.2293665094229822,2
DN_Level,1231,-0.2789079550444893,0.2789079550444893,2
DN_Level,1248,-0.22947677428729354,0.22947677428729354,3
DN_Level,1257,-0.09971017978484253,0.09971017978484253,9
DN_Level,1259,0.015555187502500178,0.015555187502500178,1
DN_Level,1261,-0.13094406838715766,0.13094406838715766,2
DN_Level,1268,-0.03841682125445778,0.03841682125445778,2
DN_Level,1278,0.06812116608487817,0.10755568980847285,2
DN_Level,1287,-0.7007489337440478,0.7007489337440478,1
DN_Level,1296,-0.0949809589664059,0.0949809589664059,1
DN_Level,1297,-0.06510982721596859,0.14518002384181006,4
DN_Level,1308,0.013098876369921797,0.013098876369921797,1
DN_Level,1309,0.030478117745854183,0.030478117745854183,2
DN_Level,1315,0.01974976411805507,0.01974976411805507,3
DN_Level,1324,0.012568830988219482,0.012568830988219482,3
